date	Downlod	Upload
20181202-040502 	  0.00 Mbit/s 	  0.02 Mbit/s 
20181202-041001 	  0.00 Mbit/s 	  0.02 Mbit/s 
20181202-041501 	  0.00 Mbit/s 	  0.00 Mbit/s 
20181202-042001 	  0.00 Mbit/s 	  0.01 Mbit/s 
20181202-042501 	  0.00 Mbit/s 	  0.01 Mbit/s 
20181202-043001 	  0.00 Mbit/s 	  0.02 Mbit/s 
20181202-043501 	 NG 	 NG 
20181202-044001 	 NG 	 NG 
20181202-044501 	 NG 	 NG 
20181202-045001 	 NG 	 NG 
20181202-045501 	 NG 	 NG 
20181202-050001 	 NG 	 NG 
20181202-050501 	 NG 	 NG 
20181202-051001 	 NG 	 NG 
20181202-051501 	 NG 	 NG 
20181202-052001 	 NG 	 NG 
20181202-052501 	 NG 	 NG 
20181202-053001 	 NG 	 NG 
20181202-053501 	 NG 	 NG 
20181202-054001 	 NG 	 NG 
20181202-054501 	 NG 	 NG 
20181202-055001 	 NG 	 NG 
20181202-055501 	 NG 	 NG 
20181202-060001 	 NG 	 NG 
20181202-060501 	 NG 	 NG 
20181202-061001 	 NG 	 NG 
20181202-061501 	 NG 	 NG 
20181202-062001 	 NG 	 NG 
20181202-062501 	 NG 	 NG 
20181202-063001 	 NG 	 NG 
20181202-063501 	 NG 	 NG 
20181202-064001 	 NG 	 NG 
20181202-064501 	 NG 	 NG 
20181202-065001 	 NG 	 NG 
20181202-065501 	 NG 	 NG 
20181202-070002 	 NG 	 NG 
20181202-070501 	 NG 	 NG 
20181202-071001 	 NG 	 NG 
20181202-071501 	 NG 	 NG 
20181202-072001 	 NG 	 NG 
20181202-072501 	 NG 	 NG 
20181202-073001 	 NG 	 NG 
20181202-073501 	 NG 	 NG 
20181202-074001 	 NG 	 NG 
20181202-074501 	 NG 	 NG 
20181202-075001 	 NG 	 NG 
20181202-075502 	 NG 	 NG 
20181202-080001 	 NG 	 NG 
20181202-080501 	 NG 	 NG 
20181202-081001 	 NG 	 NG 
20181202-081501 	 NG 	 NG 
20181202-082001 	 NG 	 NG 
20181202-082501 	 NG 	 NG 
20181202-083001 	 NG 	 NG 
20181202-083501 	 NG 	 NG 
20181202-084001 	 NG 	 NG 
20181202-084501 	 NG 	 NG 
20181202-085001 	 NG 	 NG 
20181202-085501 	 NG 	 NG 
20181202-090001 	 NG 	 NG 
20181202-090501 	 NG 	 NG 
20181202-091001 	 NG 	 NG 
20181202-091501 	 NG 	 NG 
20181202-092002 	 NG 	 NG 
20181202-092501 	 NG 	 NG 
20181202-093001 	 NG 	 NG 
20181202-093501 	 NG 	 NG 
20181202-094001 	 NG 	 NG 
20181202-094501 	 NG 	 NG 
20181202-095001 	 NG 	 NG 
20181202-095501 	 NG 	 NG 
20181202-100001 	 NG 	 NG 
20181202-100501 	 NG 	 NG 
20181202-101002 	 NG 	 NG 
20181202-101501 	 NG 	 NG 
20181202-102001 	 NG 	 NG 
20181202-102501 	 NG 	 NG 
20181202-103001 	 NG 	 NG 
20181202-103501 	  10.31 Mbit/s 	  2.04 Mbit/s
20181202-104002 	  10.18 Mbit/s 	  2.13 Mbit/s
20181202-104501 	  10.22 Mbit/s 	  2.04 Mbit/s
20181202-105001 	  10.04 Mbit/s 	  2.04 Mbit/s
20181202-105501 	  9.90 Mbit/s 	  2.14 Mbit/s
20181202-110001 	  7.30 Mbit/s 	  2.02 Mbit/s
20181202-110501 	  10.77 Mbit/s 	  1.95 Mbit/s
